"","x"
"151",0.38
"152",0.38
"153",0.38
"154",0.38
"155",0.38
"156",0.38
"157",0.29
"158",0.29
"159",0.29
"160",0.29
"161",0.29
"162",0.29
"163",0.29
"164",0.29
"165",0.29
"166",0.29
"167",0.29
"168",0.29
"169",0.29
"170",0.29
"171",0.29
"172",0.29
"173",0.29
"174",0.29
"175",0.29
"176",0.29
"177",0.29
"178",0.29
"179",0.29
"180",0.29
"181",0.29
"182",0.29
"183",0.29
"184",0.29
"185",0.29
"186",0.29
"187",0.29
"188",0.29
"189",0.29
"190",0.29
"191",0.29
"192",0.29
"193",0.29
"194",0.29
"195",0.29
"196",0.29
"197",0.29
"198",0.29
"199",0.29
"200",0.29
"201",0.29
"202",0.29
"203",0.29
"204",0.29
"205",0.29
"206",0.29
"207",0.29
"208",0.29
"209",0.39
"210",0.39
"211",0.39
"212",0.39
"213",0.39
"214",0.39
"215",0.39
"216",0.39
"217",0.39
"218",0.39
"219",0.39
"220",0.39
"221",0.39
"222",0.39
"223",0.39
"224",0.39
"225",0.39
"226",0.39
"227",0.39
"228",0.39
"229",0.39
"230",0.39
"231",0.39
"232",0.39
"233",0.39
"234",0.39
"235",0.39
"236",0.39
"237",0.39
"238",0.39
"239",0.39
"240",0.39
"241",0.39
"242",0.39
"243",0.39
"244",0.39
"245",0.39
"246",0.39
"247",0.39
"248",0.39
"249",0.39
"250",0.39
"251",0.39
"252",0.39
"253",0.39
"254",0.39
"255",0.39
"256",0.39
"257",0.39
"258",0.39
"259",0.39
"260",0.39
"261",0.37
"262",0.37
"263",0.37
"264",0.37
"265",0.37
"266",0.37
"267",0.37
"268",0.37
"269",0.37
"270",0.37
"271",0.37
"272",0.37
"273",0.37
"274",0.37
"275",0.37
"276",0.37
"277",0.37
"278",0.37
"279",0.37
"280",0.37
"281",0.37
"282",0.37
"283",0.37
"284",0.37
"285",0.37
"286",0.37
"287",0.37
"288",0.37
"289",0.37
"290",0.37
"291",0.37
"292",0.37
"293",0.37
"294",0.37
"295",0.37
"296",0.37
"297",0.37
"298",0.37
"299",0.37
"300",0.37
"301",0.37
"302",0.37
"303",0.37
"304",0.37
"305",0.37
"306",0.37
"307",0.37
"308",0.37
"309",0.37
"310",0.37
"311",0.37
"312",0.37
"313",0.36
"314",0.36
"315",0.36
"316",0.36
"317",0.36
"318",0.36
"319",0.36
"320",0.36
"321",0.36
"322",0.36
"323",0.36
"324",0.36
"325",0.36
"326",0.36
"327",0.36
"328",0.36
"329",0.36
"330",0.36
"331",0.36
"332",0.36
"333",0.36
"334",0.36
"335",0.36
"336",0.36
"337",0.36
"338",0.36
"339",0.36
"340",0.36
"341",0.36
"342",0.36
"343",0.36
"344",0.36
"345",0.36
"346",0.36
"347",0.36
"348",0.36
"349",0.36
"350",0.36
"351",0.36
"352",0.36
"353",0.36
"354",0.36
"355",0.36
"356",0.36
"357",0.36
"358",0.36
"359",0.36
"360",0.36
"361",0.36
"362",0.36
"363",0.36
"364",0.36
"365",0.3
"366",0.3
"367",0.3
"368",0.3
"369",0.3
"370",0.3
"371",0.3
"372",0.3
"373",0.3
"374",0.3
"375",0.3
"376",0.3
"377",0.3
"378",0.3
"379",0.3
"380",0.3
"381",0.3
"382",0.3
"383",0.3
"384",0.3
"385",0.3
"386",0.3
"387",0.3
"388",0.3
"389",0.3
"390",0.3
"391",0.3
"392",0.3
"393",0.3
"394",0.3
"395",0.3
"396",0.3
"397",0.3
"398",0.3
"399",0.3
"400",0.3
"401",0.3
"402",0.3
"403",0.3
"404",0.3
"405",0.3
"406",0.3
"407",0.3
"408",0.3
"409",0.3
"410",0.3
"411",0.3
"412",0.3
"413",0.3
"414",0.3
"415",0.3
"416",0.3
"417",0.42
"418",0.42
"419",0.42
"420",0.42
"421",0.42
"422",0.42
"423",0.42
"424",0.42
"425",0.42
"426",0.42
"427",0.42
"428",0.42
"429",0.42
"430",0.42
"431",0.42
"432",0.42
"433",0.42
"434",0.42
"435",0.42
"436",0.42
"437",0.42
"438",0.42
"439",0.42
"440",0.42
"441",0.42
"442",0.42
"443",0.42
"444",0.42
"445",0.42
"446",0.42
"447",0.42
"448",0.42
"449",0.42
"450",0.42
"451",0.42
"452",0.42
"453",0.42
"454",0.42
"455",0.42
"456",0.42
"457",0.42
"458",0.42
"459",0.42
"460",0.42
"461",0.42
"462",0.42
"463",0.42
"464",0.42
"465",0.42
"466",0.42
"467",0.42
"468",0.42
"469",0.42
